Mouse,ligature side,Infart,BWC_24,BWC_48,BWC_72,TAIL HANGING_24,TAIL HANGING_48,TAIL HANGING_72,ROTAROD_24,ROTAROD_48,ROTAROD_72,TAPE REMOVAL CTL_24,TAPE REMOVAL CTL_48,TAPE REMOVAL CTL_72,TAPE REMOVAL IPSI_24,TAPE REMOVAL IPSI_48,TAPE REMOVAL IPSI_72
636,L,0,98.12734082397004,97.75280898876404,99.25093632958801,35,35,45,46,38.5,45.5,3.5,25,3.5,8.25,6.75,8.5
637,L,0,100.41666666666667,99.58333333333333,100.83333333333333,35,65,40,46,41,34.5,7.5,3,10,4.75,15,6.75
638,R,0,96.02649006622516,95.36423841059603,95.6953642384106,30,30,46.666666666666664,67,59.333333333333336,57.666666666666664,5,13,11,15.75,14,3.75
640,R,0,96.89922480620154,96.89922480620154,98.83720930232558,40,63.33333333333333,90,55,54,51.333333333333336,6.5,5.5,4.5,14.75,12,7.5
644,R,0,NA,97.5609756097561,98.3739837398374,NA,23.333333333333332,33.33333333333333,NA,32.666666666666664,33.333333333333336,NA,14.5,8.5,NA,5,11.75
646,R,0,97.6923076923077,96.92307692307692,96.53846153846153,63.33333333333333,56.666666666666664,100,31,41,29,3,7.5,8,3,4.25,18
647,R,0,90.43824701195219,89.6414342629482,91.63346613545816,6.666666666666667,13.333333333333334,26.666666666666668,29.666666666666668,38,39.666666666666664,9,16,8.5,7.75,8.5,11.5
648,R,0,95.34883720930232,93.02325581395348,94.18604651162791,80,93.33333333333333,76.66666666666667,84.33333333333333,66.66666666666667,62,17.5,9,17,9.75,6,3.5
651,R,0,96.18320610687023,96.18320610687023,94.65648854961832,23.333333333333332,30,23.333333333333332,47.333333333333336,32.666666666666664,33,9,9,3.5,8,25.75,15.5
652,R,0,98.4732824427481,95.80152671755725,94.65648854961832,60,66.66666666666666,83.33333333333334,61.666666666666664,45.333333333333336,59.333333333333336,13.5,9,8.5,14.25,14.5,4.75
655,R,0,96.99570815450643,95.708154506437765,94.84978540772532,0,6.666666666666667,10,38,52.333333333333336,31.6666666666667,6,11,14,4.5,6.25,9.5
656,R,0,94.34782608695652,94.78260869565217,93.04347826086956,16.666666666666664,36.666666666666664,40,51.666666666666664,37,36.666666666666664,4,4,4,3.75,4.25,2.25
629,L,4.69,92.27467811158797,90.12875536480686,94.4206008583691,40,20,55.00000000000001,42,54,55,22,41,14,30.5,16.5,3.25
631,L,20.5,94.27609427609428,90.23569023569024,94.61279461279462,100,95,95,29.5,40,36.5,76,37.5,12.5,28.5,28.5,6.25
633,L,4.12,92.85714285714286,93.27731092436974,91.59663865546219,90,90,50,38,41,44,99.5,92,22.5,25.75,7.75,24.25
641,R,6.99,93.13304721030043,93.56223175965665,96.13733905579399,60,30,20,37.666666666666664,48.666666666666664,41.333333333333336,59,39,37.5,6.5,26.5,13.5
642,R,27.09,92.05776173285199,92.05776173285199,95.66787003610109,100,100,86.66666666666667,34.333333333333336,30.333333333333332,41.666666666666664,21,135.5,113.5,19.5,169,12
643,R,37.96,85.36585365853658,84.95934959349593,85.77235772357723,100,100,100,19.333333333333332,22.333333333333332,26.333333333333332,34.5,90,105,17.25,28,60.75
645,L,36.12,87.91208791208791,92.67399267399267,94.5054945054945,96.66666666666667,93.33333333333333,100,16.666666666666668,30.333333333333332,32.333333333333336,71,93,109.5,5.5,32,28.75
649,R,56.46,NA,73.75,68.33333333333333,NA,100,100,NA,21,32,NA,135.5,63,NA,175.75,58.5
650,R,40.39,93.10344827586208,81.4655172413793,89.22413793103449,43.333333333333336,100,100,22.666666666666668,12,16.666666666666668,156,154,108,21.25,56,29.5
653,R,34.96,92.831541218638,92.4731182795699,94.6236559139785,63.33333333333333,80,40,53.666666666666664,78.66666666666667,51.666666666666664,122.5,134.5,78,18.75,11.5,14.75
654,L,22.67,93.92712550607288,94.73684210526316,97.16599190283401,3.3333333333333335,36.666666666666664,50,82,102.33333333333333,83.66666666666667,18,8,27.5,31.25,9.5,22
657,R,42.06,92.3694779116466,86.74698795180723,83.93574297188755,100,33.33333333333333,100,29.333333333333332,25.333333333333332,33,105.5,129,96.5,45.25,79.25,14.75
