"","observed","predicted"
"1",0,1.76943899122348e-09
"2",1,0.999990989130808
"3",1,0.999951602000922
"4",1,1
"5",1,1
"6",1,4.34496762825e-07
"7",1,1
"8",1,1
"9",0,3.61040829053129e-10
"10",1,0.999868951761517
"11",0,2.22044604925031e-16
"12",1,1
"13",1,6.6148119724177e-07
"14",1,1
"15",0,1.18471210315212e-11
"16",1,1
"17",0,2.22044604925031e-16
"18",0,2.22044604925031e-16
"19",0,2.22044604925031e-16
"20",0,2.22044604925031e-16
"21",1,1
"22",0,2.22044604925031e-16
"23",0,2.22044604925031e-16
"24",1,1
"25",1,1
"26",1,1
"27",0,2.22044604925031e-16
"28",1,1
"29",0,1.13322389177215e-10
"30",1,1
"31",0,2.22044604925031e-16
"32",0,9.42643019527216e-14
"33",0,2.22044604925031e-16
"34",1,1
"35",0,2.22044604925031e-16
"36",0,1.29466997836373e-10
"37",0,2.22044604925031e-16
"38",1,1
"39",0,2.22044604925031e-16
"40",0,2.22044604925031e-16
"41",0,1.13180550595351e-10
"42",0,2.22044604925031e-16
"43",0,2.22044604925031e-16
"44",0,9.42317822082251e-14
"45",0,2.22044604925031e-16
"46",1,0.968571768160058
"47",0,2.22044604925031e-16
"48",0,2.22044604925031e-16
"49",1,0.999999360889509
"50",0,2.22044604925031e-16
"51",0,5.58264273233146e-12
"52",1,1
"53",1,0.981610994104523
"54",1,1
"55",0,2.22044604925031e-16
"56",0,2.22044604925031e-16
"57",1,3.41253027625506e-07
"58",0,2.22044604925031e-16
"59",1,1
"60",0,2.22044604925031e-16
"61",1,1
"62",1,0.995188583639777
"63",0,2.22044604925031e-16
"64",1,1
"65",0,1.13322389177215e-10
"66",1,1
"67",0,2.22044604925031e-16
"68",0,9.42643019527216e-14
"69",1,1
"70",1,1
"71",0,2.22044604925031e-16
"72",0,2.22044604925031e-16
"73",1,1
"74",0,2.22044604925031e-16
"75",0,2.22044604925031e-16
"76",0,2.22044604925031e-16
"77",1,1
"78",0,2.22044604925031e-16
"79",1,1
"80",0,2.22044604925031e-16
"81",1,0.980944049690175
"82",1,1
"83",0,2.22044604925031e-16
"84",0,2.22044604925031e-16
"85",1,1
"86",1,0.995188583639777
"87",0,2.22044604925031e-16
"88",1,1
"89",0,2.22044604925031e-16
"90",0,2.22044604925031e-16
"91",1,1
"92",0,2.22044604925031e-16
"93",0,2.22044604925031e-16
"94",1,1
"95",0,2.22044604925031e-16
"96",1,1
"97",0,2.22044604925031e-16
"98",0,1.1584211454145e-10
"99",0,2.22044604925031e-16
"100",0,2.22044604925031e-16
"101",1,1
"102",0,2.22044604925031e-16
"103",1,1
"104",0,2.22044604925031e-16
"105",0,2.22044604925031e-16
"106",0,2.22044604925031e-16
"107",0,2.22044604925031e-16
"108",1,1
"109",0,1.0913124051456e-10
"110",0,2.22044604925031e-16
"111",1,1
"112",0,2.22044604925031e-16
"113",0,1.108826942018e-10
"114",1,1
"115",0,2.22044604925031e-16
"116",1,1
"117",0,1.67525974698888e-09
"118",1,2.22258104728097e-09
"119",1,0.999999999687656
"120",0,2.22044604925031e-16
"121",0,2.22044604925031e-16
"122",1,0.981122710181085
